feature_id,product_id,feature_name,feature_description,feature_tier,feature_value_weight
F00026,P0007,Reporting (Cortex XDR),Differentiator capability providing reporting within Cortex XDR — Premium.,Differentiator,2
F00027,P0008,Sandboxing (Autonomous DEM),Core capability providing sandboxing within Autonomous DEM — Premium.,Core,3
F00028,P0008,Risk Scoring (Autonomous DEM),Differentiator capability providing risk scoring within Autonomous DEM — Premium.,Differentiator,2
F00029,P0008,Incident Timeline (Autonomous DEM),Core capability providing incident timeline within Autonomous DEM — Premium.,Core,3
F00030,P0009,Compliance Mapping (Exposure Management),Core capability providing compliance mapping within Exposure Management — Advanced.,Core,3
F00031,P0009,Traffic Inspection (Exposure Management),Adjacent capability providing traffic inspection within Exposure Management — Advanced.,Adjacent,1
F00032,P0009,Posture Assessment (Exposure Management),Differentiator capability providing posture assessment within Exposure Management — Advanced.,Differentiator,2
F00033,P0010,Incident Timeline (NGFW),Core capability providing incident timeline within NGFW — Essentials.,Core,3
F00034,P0010,Detection (NGFW),Differentiator capability providing detection within NGFW — Essentials.,Differentiator,2
F00035,P0010,Data Classification (NGFW),Differentiator capability providing data classification within NGFW — Essentials.,Differentiator,2
F00036,P0010,Policy (NGFW),Differentiator capability providing policy within NGFW — Essentials.,Differentiator,2
F00037,P0010,Compliance Mapping (NGFW),Adjacent capability providing compliance mapping within NGFW — Essentials.,Adjacent,1
F00038,P0011,Traffic Inspection (Cortex XSIAM),Core capability providing traffic inspection within Cortex XSIAM — Advanced.,Core,3
F00039,P0011,Identity Correlation (Cortex XSIAM),Differentiator capability providing identity correlation within Cortex XSIAM — Advanced.,Differentiator,2
F00040,P0011,Compliance Mapping (Cortex XSIAM),Differentiator capability providing compliance mapping within Cortex XSIAM — Advanced.,Differentiator,2
F00041,P0012,Compliance Mapping (Cortex XDR),Core capability providing compliance mapping within Cortex XDR — Premium.,Core,3
F00042,P0012,Posture Assessment (Cortex XDR),Adjacent capability providing posture assessment within Cortex XDR — Premium.,Adjacent,1
F00043,P0012,Automation (Cortex XDR),Differentiator capability providing automation within Cortex XDR — Premium.,Differentiator,2
F00044,P0012,Rule Optimisation (Cortex XDR),Adjacent capability providing rule optimisation within Cortex XDR — Premium.,Adjacent,1
F00045,P0013,Detection (Prisma SD-WAN),Core capability providing detection within Prisma SD-WAN — Essentials.,Core,3
F00046,P0013,Log Retention (Prisma SD-WAN),Adjacent capability providing log retention within Prisma SD-WAN — Essentials.,Adjacent,1
F00047,P0013,Alert Triage (Prisma SD-WAN),Differentiator capability providing alert triage within Prisma SD-WAN — Essentials.,Differentiator,2
F00048,P0014,Compliance Mapping (Cortex XSIAM),Core capability providing compliance mapping within Cortex XSIAM — Advanced.,Core,3
F00049,P0014,Traffic Inspection (Cortex XSIAM),Differentiator capability providing traffic inspection within Cortex XSIAM — Advanced.,Differentiator,2
F00050,P0014,Identity Correlation (Cortex XSIAM),Adjacent capability providing identity correlation within Cortex XSIAM — Advanced.,Adjacent,1
F00051,P0014,Reporting (Cortex XSIAM),Adjacent capability providing reporting within Cortex XSIAM — Advanced.,Adjacent,1
F00052,P0014,Rule Optimisation (Cortex XSIAM),Adjacent capability providing rule optimisation within Cortex XSIAM — Advanced.,Adjacent,1
F00053,P0015,Data Classification (Exposure Management),Core capability providing data classification within Exposure Management — Premium.,Core,3
F00054,P0015,Traffic Inspection (Exposure Management),Differentiator capability providing traffic inspection within Exposure Management — Premium.,Differentiator,2
F00055,P0015,Detection (Exposure Management),Differentiator capability providing detection within Exposure Management — Premium.,Differentiator,2
F00056,P0016,Alert Triage (Prisma Access),Core capability providing alert triage within Prisma Access — Advanced.,Core,3
F00057,P0016,Anomaly Scoring (Prisma Access),Differentiator capability providing anomaly scoring within Prisma Access — Advanced.,Differentiator,2
F00058,P0016,Detection (Prisma Access),Differentiator capability providing detection within Prisma Access — Advanced.,Differentiator,2
F00059,P0016,Playbook Orchestration (Prisma Access),Differentiator capability providing playbook orchestration within Prisma Access — Advanced.,Differentiator,2
F00060,P0016,Log Retention (Prisma Access),Adjacent capability providing log retention within Prisma Access — Advanced.,Adjacent,1
F00061,P0017,Reporting (SaaS Security),Core capability providing reporting within SaaS Security — Premium.,Core,3
F00062,P0017,Alert Triage (SaaS Security),Adjacent capability providing alert triage within SaaS Security — Premium.,Adjacent,1
F00063,P0017,Threat Hunting (SaaS Security),Core capability providing threat hunting within SaaS Security — Premium.,Core,3
F00064,P0017,Rule Optimisation (SaaS Security),Adjacent capability providing rule optimisation within SaaS Security — Premium.,Adjacent,1
F00065,P0018,Inline Analysis (Autonomous DEM),Core capability providing inline analysis within Autonomous DEM — Premium.,Core,3
F00066,P0018,Threat Hunting (Autonomous DEM),Differentiator capability providing threat hunting within Autonomous DEM — Premium.,Differentiator,2
F00067,P0018,Threat Hunting (Autonomous DEM),Adjacent capability providing threat hunting within Autonomous DEM — Premium.,Adjacent,1
F00068,P0018,Detection (Autonomous DEM),Adjacent capability providing detection within Autonomous DEM — Premium.,Adjacent,1
F00069,P0018,Rule Optimisation (Autonomous DEM),Differentiator capability providing rule optimisation within Autonomous DEM — Premium.,Differentiator,2
F00070,P0019,Anomaly Scoring (Prisma SD-WAN),Core capability providing anomaly scoring within Prisma SD-WAN — Premium.,Core,3
F00071,P0019,Anomaly Scoring (Prisma SD-WAN),Differentiator capability providing anomaly scoring within Prisma SD-WAN — Premium.,Differentiator,2
F00072,P0019,Rule Optimisation (Prisma SD-WAN),Adjacent capability providing rule optimisation within Prisma SD-WAN — Premium.,Adjacent,1
F00073,P0019,Log Retention (Prisma SD-WAN),Differentiator capability providing log retention within Prisma SD-WAN — Premium.,Differentiator,2
F00074,P0020,Risk Scoring (Exposure Management),Core capability providing risk scoring within Exposure Management — Advanced.,Core,3
F00075,P0020,Detection (Exposure Management),Adjacent capability providing detection within Exposure Management — Advanced.,Adjacent,1
F00076,P0020,Log Retention (Exposure Management),Adjacent capability providing log retention within Exposure Management — Advanced.,Adjacent,1
F00077,P0020,Inline Analysis (Exposure Management),Core capability providing inline analysis within Exposure Management — Advanced.,Core,3
F00078,P0020,Inline Analysis (Exposure Management),Adjacent capability providing inline analysis within Exposure Management — Advanced.,Adjacent,1
F00079,P0021,Alert Triage (Autonomous DEM),Core capability providing alert triage within Autonomous DEM — Essentials.,Core,3
F00080,P0021,Sandboxing (Autonomous DEM),Core capability providing sandboxing within Autonomous DEM — Essentials.,Core,3
F00081,P0021,Compliance Mapping (Autonomous DEM),Differentiator capability providing compliance mapping within Autonomous DEM — Essentials.,Differentiator,2
F00082,P0022,Risk Scoring (Advanced URL Filtering),Core capability providing risk scoring within Advanced URL Filtering — Advanced.,Core,3
F00083,P0022,Sandboxing (Advanced URL Filtering),Adjacent capability providing sandboxing within Advanced URL Filtering — Advanced.,Adjacent,1
F00084,P0022,Playbook Orchestration (Advanced URL Filtering),Differentiator capability providing playbook orchestration within Advanced URL Filtering — Advanced.,Differentiator,2
F00085,P0023,Automation (Advanced Threat Prevention),Core capability providing automation within Advanced Threat Prevention — Advanced.,Core,3
F00086,P0023,Sandboxing (Advanced Threat Prevention),Adjacent capability providing sandboxing within Advanced Threat Prevention — Advanced.,Adjacent,1
F00087,P0023,Identity Correlation (Advanced Threat Prevention),Adjacent capability providing identity correlation within Advanced Threat Prevention — Advanced.,Adjacent,1
F00088,P0024,Segmentation (Advanced WildFire),Core capability providing segmentation within Advanced WildFire — Advanced.,Core,3
F00089,P0024,Rule Optimisation (Advanced WildFire),Differentiator capability providing rule optimisation within Advanced WildFire — Advanced.,Differentiator,2
F00090,P0024,Policy (Advanced WildFire),Adjacent capability providing policy within Advanced WildFire — Advanced.,Adjacent,1
F00091,P0024,Automation (Advanced WildFire),Differentiator capability providing automation within Advanced WildFire — Advanced.,Differentiator,2
F00092,P0024,Playbook Orchestration (Advanced WildFire),Adjacent capability providing playbook orchestration within Advanced WildFire — Advanced.,Adjacent,1
F00093,P0025,Threat Hunting (Advanced WildFire),Core capability providing threat hunting within Advanced WildFire — Advanced.,Core,3
F00094,P0025,Risk Scoring (Advanced WildFire),Adjacent capability providing risk scoring within Advanced WildFire — Advanced.,Adjacent,1
F00095,P0025,Threat Hunting (Advanced WildFire),Differentiator capability providing threat hunting within Advanced WildFire — Advanced.,Differentiator,2
F00096,P0025,Compliance Mapping (Advanced WildFire),Core capability providing compliance mapping within Advanced WildFire — Advanced.,Core,3
F00097,P0025,Log Retention (Advanced WildFire),Differentiator capability providing log retention within Advanced WildFire — Advanced.,Differentiator,2
F00098,P0026,Rule Optimisation (Attack Surface Management),Core capability providing rule optimisation within Attack Surface Management — Advanced.,Core,3
F00099,P0026,Compliance Mapping (Attack Surface Management),Adjacent capability providing compliance mapping within Attack Surface Management — Advanced.,Adjacent,1
F00100,P0026,Segmentation (Attack Surface Management),Differentiator capability providing segmentation within Attack Surface Management — Advanced.,Differentiator,2
F00101,P0026,Detection (Attack Surface Management),Adjacent capability providing detection within Attack Surface Management — Advanced.,Adjacent,1
F00102,P0027,Playbook Orchestration (AI Model Scanning),Core capability providing playbook orchestration within AI Model Scanning — Advanced.,Core,3
F00103,P0027,Policy (AI Model Scanning),Core capability providing policy within AI Model Scanning — Advanced.,Core,3
F00104,P0027,Reporting (AI Model Scanning),Adjacent capability providing reporting within AI Model Scanning — Advanced.,Adjacent,1
F00105,P0028,Risk Scoring (AI Posture Management),Core capability providing risk scoring within AI Posture Management — Premium.,Core,3
F00106,P0028,Threat Hunting (AI Posture Management),Differentiator capability providing threat hunting within AI Posture Management — Premium.,Differentiator,2
F00107,P0028,Inline Analysis (AI Posture Management),Core capability providing inline analysis within AI Posture Management — Premium.,Core,3
F00108,P0029,Data Classification (SaaS Security),Core capability providing data classification within SaaS Security — Essentials.,Core,3
F00109,P0029,Log Retention (SaaS Security),Differentiator capability providing log retention within SaaS Security — Essentials.,Differentiator,2
F00110,P0029,Automation (SaaS Security),Adjacent capability providing automation within SaaS Security — Essentials.,Adjacent,1
F00111,P0029,Data Classification (SaaS Security),Adjacent capability providing data classification within SaaS Security — Essentials.,Adjacent,1
F00112,P0029,Posture Assessment (SaaS Security),Core capability providing posture assessment within SaaS Security — Essentials.,Core,3
F00113,P0030,Alert Triage (Enterprise DLP),Core capability providing alert triage within Enterprise DLP — Advanced.,Core,3
F00114,P0030,Risk Scoring (Enterprise DLP),Differentiator capability providing risk scoring within Enterprise DLP — Advanced.,Differentiator,2
F00115,P0030,Automation (Enterprise DLP),Differentiator capability providing automation within Enterprise DLP — Advanced.,Differentiator,2
F00116,P0031,Identity Correlation (Cortex Cloud),Core capability providing identity correlation within Cortex Cloud — Essentials.,Core,3
F00117,P0031,Playbook Orchestration (Cortex Cloud),Core capability providing playbook orchestration within Cortex Cloud — Essentials.,Core,3
F00118,P0031,Policy (Cortex Cloud),Differentiator capability providing policy within Cortex Cloud — Essentials.,Differentiator,2
F00119,P0031,Policy (Cortex Cloud),Core capability providing policy within Cortex Cloud — Essentials.,Core,3
F00120,P0031,Segmentation (Cortex Cloud),Adjacent capability providing segmentation within Cortex Cloud — Essentials.,Adjacent,1
F00121,P0032,Inline Analysis (Enterprise DLP),Core capability providing inline analysis within Enterprise DLP — Premium.,Core,3
F00122,P0032,Compliance Mapping (Enterprise DLP),Adjacent capability providing compliance mapping within Enterprise DLP — Premium.,Adjacent,1
F00123,P0032,Automation (Enterprise DLP),Differentiator capability providing automation within Enterprise DLP — Premium.,Differentiator,2
F00124,P0033,Reporting (Cortex XDR),Core capability providing reporting within Cortex XDR — Advanced.,Core,3
F00125,P0033,Reporting (Cortex XDR),Differentiator capability providing reporting within Cortex XDR — Advanced.,Differentiator,2
F00126,P0033,Segmentation (Cortex XDR),Adjacent capability providing segmentation within Cortex XDR — Advanced.,Adjacent,1
F00127,P0034,Inline Analysis (Advanced URL Filtering),Core capability providing inline analysis within Advanced URL Filtering — Essentials.,Core,3
F00128,P0034,Inline Analysis (Advanced URL Filtering),Adjacent capability providing inline analysis within Advanced URL Filtering — Essentials.,Adjacent,1
F00129,P0034,Automation (Advanced URL Filtering),Core capability providing automation within Advanced URL Filtering — Essentials.,Core,3
F00130,P0034,Identity Correlation (Advanced URL Filtering),Adjacent capability providing identity correlation within Advanced URL Filtering — Essentials.,Adjacent,1
F00131,P0035,Inline Analysis (Cortex XSOAR),Core capability providing inline analysis within Cortex XSOAR — Advanced.,Core,3
F00132,P0035,Risk Scoring (Cortex XSOAR),Core capability providing risk scoring within Cortex XSOAR — Advanced.,Core,3
F00133,P0035,Incident Timeline (Cortex XSOAR),Adjacent capability providing incident timeline within Cortex XSOAR — Advanced.,Adjacent,1
F00134,P0035,Playbook Orchestration (Cortex XSOAR),Differentiator capability providing playbook orchestration within Cortex XSOAR — Advanced.,Differentiator,2
F00135,P0035,Threat Hunting (Cortex XSOAR),Adjacent capability providing threat hunting within Cortex XSOAR — Advanced.,Adjacent,1
F00136,P0036,Reporting (NGFW),Core capability providing reporting within NGFW — Premium.,Core,3
F00137,P0036,Rule Optimisation (NGFW),Adjacent capability providing rule optimisation within NGFW — Premium.,Adjacent,1
F00138,P0036,Sandboxing (NGFW),Core capability providing sandboxing within NGFW — Premium.,Core,3
F00139,P0037,Log Retention (IoT Security),Core capability providing log retention within IoT Security — Essentials.,Core,3
F00140,P0037,Automation (IoT Security),Adjacent capability providing automation within IoT Security — Essentials.,Adjacent,1
F00141,P0037,Alert Triage (IoT Security),Differentiator capability providing alert triage within IoT Security — Essentials.,Differentiator,2
F00142,P0037,Traffic Inspection (IoT Security),Core capability providing traffic inspection within IoT Security — Essentials.,Core,3
F00143,P0038,Anomaly Scoring (Cortex XDR),Core capability providing anomaly scoring within Cortex XDR — Essentials.,Core,3
F00144,P0038,Threat Hunting (Cortex XDR),Adjacent capability providing threat hunting within Cortex XDR — Essentials.,Adjacent,1
F00145,P0038,Identity Correlation (Cortex XDR),Adjacent capability providing identity correlation within Cortex XDR — Essentials.,Adjacent,1
F00146,P0038,Incident Timeline (Cortex XDR),Adjacent capability providing incident timeline within Cortex XDR — Essentials.,Adjacent,1
F00147,P0038,Identity Correlation (Cortex XDR),Adjacent capability providing identity correlation within Cortex XDR — Essentials.,Adjacent,1
F00148,P0039,Detection (Cortex XDR),Core capability providing detection within Cortex XDR — Essentials.,Core,3
F00149,P0039,Alert Triage (Cortex XDR),Adjacent capability providing alert triage within Cortex XDR — Essentials.,Adjacent,1
F00150,P0039,Compliance Mapping (Cortex XDR),Differentiator capability providing compliance mapping within Cortex XDR — Essentials.,Differentiator,2
F00151,P0040,Identity Correlation (Advanced Threat Prevention),Core capability providing identity correlation within Advanced Threat Prevention — Advanced.,Core,3
F00152,P0040,Policy (Advanced Threat Prevention),Core capability providing policy within Advanced Threat Prevention — Advanced.,Core,3
F00153,P0040,Data Classification (Advanced Threat Prevention),Differentiator capability providing data classification within Advanced Threat Prevention — Advanced.,Differentiator,2
F00154,P0040,Segmentation (Advanced Threat Prevention),Adjacent capability providing segmentation within Advanced Threat Prevention — Advanced.,Adjacent,1
F00155,P0041,Risk Scoring (Advanced DNS Security),Core capability providing risk scoring within Advanced DNS Security — Premium.,Core,3
F00156,P0041,Data Classification (Advanced DNS Security),Differentiator capability providing data classification within Advanced DNS Security — Premium.,Differentiator,2
F00157,P0041,Traffic Inspection (Advanced DNS Security),Adjacent capability providing traffic inspection within Advanced DNS Security — Premium.,Adjacent,1
F00158,P0042,Rule Optimisation (Advanced URL Filtering),Core capability providing rule optimisation within Advanced URL Filtering — Essentials.,Core,3
F00159,P0042,Automation (Advanced URL Filtering),Differentiator capability providing automation within Advanced URL Filtering — Essentials.,Differentiator,2
F00160,P0042,Policy (Advanced URL Filtering),Differentiator capability providing policy within Advanced URL Filtering — Essentials.,Differentiator,2
F00161,P0042,Log Retention (Advanced URL Filtering),Adjacent capability providing log retention within Advanced URL Filtering — Essentials.,Adjacent,1
F00162,P0042,Threat Hunting (Advanced URL Filtering),Core capability providing threat hunting within Advanced URL Filtering — Essentials.,Core,3
F00163,P0043,Sandboxing (Enterprise DLP),Core capability providing sandboxing within Enterprise DLP — Advanced.,Core,3
F00164,P0043,Identity Correlation (Enterprise DLP),Adjacent capability providing identity correlation within Enterprise DLP — Advanced.,Adjacent,1
F00165,P0043,Anomaly Scoring (Enterprise DLP),Adjacent capability providing anomaly scoring within Enterprise DLP — Advanced.,Adjacent,1
F00166,P0044,Traffic Inspection (Autonomous DEM),Core capability providing traffic inspection within Autonomous DEM — Essentials.,Core,3
F00167,P0044,Traffic Inspection (Autonomous DEM),Adjacent capability providing traffic inspection within Autonomous DEM — Essentials.,Adjacent,1
F00168,P0044,Incident Timeline (Autonomous DEM),Adjacent capability providing incident timeline within Autonomous DEM — Essentials.,Adjacent,1
F00169,P0044,Inline Analysis (Autonomous DEM),Differentiator capability providing inline analysis within Autonomous DEM — Essentials.,Differentiator,2
F00170,P0044,Log Retention (Autonomous DEM),Differentiator capability providing log retention within Autonomous DEM — Essentials.,Differentiator,2
F00171,P0045,Threat Hunting (Attack Surface Management),Core capability providing threat hunting within Attack Surface Management — Essentials.,Core,3
F00172,P0045,Inline Analysis (Attack Surface Management),Differentiator capability providing inline analysis within Attack Surface Management — Essentials.,Differentiator,2
F00173,P0045,Traffic Inspection (Attack Surface Management),Differentiator capability providing traffic inspection within Attack Surface Management — Essentials.,Differentiator,2
F00174,P0046,Automation (Prisma Access),Core capability providing automation within Prisma Access — Advanced.,Core,3
F00175,P0046,Anomaly Scoring (Prisma Access),Differentiator capability providing anomaly scoring within Prisma Access — Advanced.,Differentiator,2
F00176,P0046,Risk Scoring (Prisma Access),Adjacent capability providing risk scoring within Prisma Access — Advanced.,Adjacent,1
F00177,P0046,Alert Triage (Prisma Access),Adjacent capability providing alert triage within Prisma Access — Advanced.,Adjacent,1
F00178,P0047,Reporting (IoT Security),Core capability providing reporting within IoT Security — Advanced.,Core,3
F00179,P0047,Playbook Orchestration (IoT Security),Differentiator capability providing playbook orchestration within IoT Security — Advanced.,Differentiator,2
F00180,P0047,Incident Timeline (IoT Security),Adjacent capability providing incident timeline within IoT Security — Advanced.,Adjacent,1
F00181,P0048,Policy (Enterprise DLP),Core capability providing policy within Enterprise DLP — Advanced.,Core,3
F00182,P0048,Inline Analysis (Enterprise DLP),Core capability providing inline analysis within Enterprise DLP — Advanced.,Core,3
F00183,P0048,Policy (Enterprise DLP),Adjacent capability providing policy within Enterprise DLP — Advanced.,Adjacent,1
F00184,P0048,Posture Assessment (Enterprise DLP),Adjacent capability providing posture assessment within Enterprise DLP — Advanced.,Adjacent,1
F00185,P0048,Compliance Mapping (Enterprise DLP),Differentiator capability providing compliance mapping within Enterprise DLP — Advanced.,Differentiator,2
F00186,P0049,Posture Assessment (Cortex Cloud),Core capability providing posture assessment within Cortex Cloud — Essentials.,Core,3
F00187,P0049,Data Classification (Cortex Cloud),Differentiator capability providing data classification within Cortex Cloud — Essentials.,Differentiator,2
F00188,P0049,Inline Analysis (Cortex Cloud),Adjacent capability providing inline analysis within Cortex Cloud — Essentials.,Adjacent,1
F00189,P0049,Log Retention (Cortex Cloud),Adjacent capability providing log retention within Cortex Cloud — Essentials.,Adjacent,1
F00190,P0050,Log Retention (AI Model Scanning),Core capability providing log retention within AI Model Scanning — Premium.,Core,3
F00191,P0050,Identity Correlation (AI Model Scanning),Adjacent capability providing identity correlation within AI Model Scanning — Premium.,Adjacent,1
F00192,P0050,Automation (AI Model Scanning),Adjacent capability providing automation within AI Model Scanning — Premium.,Adjacent,1
F00193,P0050,Log Retention (AI Model Scanning),Core capability providing log retention within AI Model Scanning — Premium.,Core,3
F00194,P0050,Rule Optimisation (AI Model Scanning),Adjacent capability providing rule optimisation within AI Model Scanning — Premium.,Adjacent,1
F00195,P0051,Rule Optimisation (Enterprise DLP),Core capability providing rule optimisation within Enterprise DLP — Advanced.,Core,3
F00196,P0051,Posture Assessment (Enterprise DLP),Core capability providing posture assessment within Enterprise DLP — Advanced.,Core,3
F00197,P0051,Data Classification (Enterprise DLP),Differentiator capability providing data classification within Enterprise DLP — Advanced.,Differentiator,2
F00198,P0051,Posture Assessment (Enterprise DLP),Differentiator capability providing posture assessment within Enterprise DLP — Advanced.,Differentiator,2
F00199,P0051,Log Retention (Enterprise DLP),Differentiator capability providing log retention within Enterprise DLP — Advanced.,Differentiator,2
F00200,P0052,Reporting (Advanced Threat Prevention),Core capability providing reporting within Advanced Threat Prevention — Essentials.,Core,3
F00201,P0052,Alert Triage (Advanced Threat Prevention),Adjacent capability providing alert triage within Advanced Threat Prevention — Essentials.,Adjacent,1
F00202,P0052,Identity Correlation (Advanced Threat Prevention),Adjacent capability providing identity correlation within Advanced Threat Prevention — Essentials.,Adjacent,1
F00203,P0053,Alert Triage (Attack Surface Management),Core capability providing alert triage within Attack Surface Management — Premium.,Core,3
F00204,P0053,Detection (Attack Surface Management),Core capability providing detection within Attack Surface Management — Premium.,Core,3
F00205,P0053,Compliance Mapping (Attack Surface Management),Adjacent capability providing compliance mapping within Attack Surface Management — Premium.,Adjacent,1
F00206,P0054,Detection (Advanced WildFire),Core capability providing detection within Advanced WildFire — Advanced.,Core,3
F00207,P0054,Traffic Inspection (Advanced WildFire),Differentiator capability providing traffic inspection within Advanced WildFire — Advanced.,Differentiator,2
F00208,P0054,Risk Scoring (Advanced WildFire),Differentiator capability providing risk scoring within Advanced WildFire — Advanced.,Differentiator,2
F00209,P0054,Alert Triage (Advanced WildFire),Adjacent capability providing alert triage within Advanced WildFire — Advanced.,Adjacent,1
F00210,P0055,Automation (Cortex XSOAR),Core capability providing automation within Cortex XSOAR — Advanced.,Core,3
F00211,P0055,Rule Optimisation (Cortex XSOAR),Differentiator capability providing rule optimisation within Cortex XSOAR — Advanced.,Differentiator,2
F00212,P0055,Data Classification (Cortex XSOAR),Adjacent capability providing data classification within Cortex XSOAR — Advanced.,Adjacent,1
F00213,P0055,Reporting (Cortex XSOAR),Differentiator capability providing reporting within Cortex XSOAR — Advanced.,Differentiator,2
F00214,P0056,Detection (Cortex XSOAR),Core capability providing detection within Cortex XSOAR — Premium.,Core,3
F00215,P0056,Sandboxing (Cortex XSOAR),Adjacent capability providing sandboxing within Cortex XSOAR — Premium.,Adjacent,1
F00216,P0056,Automation (Cortex XSOAR),Core capability providing automation within Cortex XSOAR — Premium.,Core,3
F00217,P0056,Playbook Orchestration (Cortex XSOAR),Differentiator capability providing playbook orchestration within Cortex XSOAR — Premium.,Differentiator,2
F00218,P0056,Anomaly Scoring (Cortex XSOAR),Differentiator capability providing anomaly scoring within Cortex XSOAR — Premium.,Differentiator,2
F00219,P0057,Threat Hunting (AI Runtime Security),Core capability providing threat hunting within AI Runtime Security — Essentials.,Core,3
F00220,P0057,Anomaly Scoring (AI Runtime Security),Differentiator capability providing anomaly scoring within AI Runtime Security — Essentials.,Differentiator,2
F00221,P0057,Rule Optimisation (AI Runtime Security),Adjacent capability providing rule optimisation within AI Runtime Security — Essentials.,Adjacent,1
F00222,P0057,Anomaly Scoring (AI Runtime Security),Core capability providing anomaly scoring within AI Runtime Security — Essentials.,Core,3
F00223,P0058,Threat Hunting (Prisma SD-WAN),Core capability providing threat hunting within Prisma SD-WAN — Premium.,Core,3
F00224,P0058,Traffic Inspection (Prisma SD-WAN),Adjacent capability providing traffic inspection within Prisma SD-WAN — Premium.,Adjacent,1
F00225,P0058,Alert Triage (Prisma SD-WAN),Differentiator capability providing alert triage within Prisma SD-WAN — Premium.,Differentiator,2
F00226,P0058,Inline Analysis (Prisma SD-WAN),Adjacent capability providing inline analysis within Prisma SD-WAN — Premium.,Adjacent,1
F00227,P0058,Policy (Prisma SD-WAN),Differentiator capability providing policy within Prisma SD-WAN — Premium.,Differentiator,2
F00228,P0059,Policy (Prisma Access),Core capability providing policy within Prisma Access — Essentials.,Core,3
F00229,P0059,Segmentation (Prisma Access),Core capability providing segmentation within Prisma Access — Essentials.,Core,3
F00230,P0059,Policy (Prisma Access),Differentiator capability providing policy within Prisma Access — Essentials.,Differentiator,2
F00231,P0059,Sandboxing (Prisma Access),Adjacent capability providing sandboxing within Prisma Access — Essentials.,Adjacent,1
F00232,P0060,Compliance Mapping (IoT Security),Core capability providing compliance mapping within IoT Security — Premium.,Core,3
F00233,P0060,Detection (IoT Security),Adjacent capability providing detection within IoT Security — Premium.,Adjacent,1
F00234,P0060,Inline Analysis (IoT Security),Core capability providing inline analysis within IoT Security — Premium.,Core,3
F00235,P0060,Log Retention (IoT Security),Differentiator capability providing log retention within IoT Security — Premium.,Differentiator,2
F00236,P0060,Automation (IoT Security),Differentiator capability providing automation within IoT Security — Premium.,Differentiator,2
F00237,P0061,Identity Correlation (IoT Security),Core capability providing identity correlation within IoT Security — Premium.,Core,3
